 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 6.34875774383545E+0000  7.18546935820286E-0001  6.64418980466503E+0001  7.18546935820286E-0001  6.64418980466503E+0001  7.18546935820286E-0001  6.64418980466503E+0001
 6.75836324691772E+0000  7.01577213978982E-0001  4.18901921131880E+0001  7.01577213978982E-0001  4.18901921131880E+0001  7.01577213978982E-0001  4.18901921131880E+0001
 7.16796875000000E+0000  6.78091803860075E-0001  5.11715707523383E+0001  6.78091803860075E-0001  5.11715707523383E+0001  6.78091803860075E-0001  5.11715707523383E+0001
 7.57757377624512E+0000  6.60061682491451E-0001  3.84494479800286E+0001  6.60061682491451E-0001  3.84494479800286E+0001  6.60061682491451E-0001  3.84494479800286E+0001
 7.98717927932739E+0000  6.14205854389850E-0001  4.16140012053852E+0001  6.14205854389850E-0001  4.16140012053852E+0001  6.14205854389850E-0001  4.16140012053852E+0001
 8.60158729553223E+0000  6.16649911742752E-0001  3.09121758856008E+0001  6.16649911742752E-0001  3.09121758856008E+0001  6.16649911742752E-0001  3.09121758856008E+0001
 9.42079830169678E+0000  5.89132400151271E-0001  5.48702462424996E+0001  5.89132400151271E-0001  5.48702462424996E+0001  5.89132400151271E-0001  5.48702462424996E+0001
 1.02400083541870E+0001  5.64519915870256E-0001  8.36993083624829E+0001  5.64519915870256E-0001  8.36993083624829E+0001  5.64519915870256E-0001  8.36993083624829E+0001
 1.10592193603515E+0001  5.50722134074418E-0001  7.88726990201583E+0001  5.50722134074418E-0001  7.88726990201583E+0001  5.50722134074418E-0001  7.88726990201583E+0001
 1.18784303665161E+0001  5.22476359605223E-0001  7.22558831768089E+0001  5.22476359605223E-0001  7.22558831768089E+0001  5.22476359605223E-0001  7.22558831768089E+0001
 1.26976404190063E+0001  5.17552294110652E-0001  6.05644515902052E+0001  5.17552294110652E-0001  6.05644515902052E+0001  5.17552294110652E-0001  6.05644515902052E+0001
 1.35168514251709E+0001  4.96729317208697E-0001  7.89935013106720E+0001  4.96729317208697E-0001  7.89935013106720E+0001  4.96729317208697E-0001  7.89935013106720E+0001
 1.43360624313354E+0001  4.75679705995281E-0001  1.07867542446150E+0002  4.75679705995281E-0001  1.07867542446150E+0002  4.75679705995281E-0001  1.07867542446150E+0002
 1.51552724838256E+0001  4.66634703163095E-0001  5.84230260841037E+0001  4.66634703163095E-0001  5.84230260841037E+0001  4.66634703163095E-0001  5.84230260841037E+0001
 1.59744834899902E+0001  4.49197322583158E-0001  6.59967019975345E+0001  4.49197322583158E-0001  6.59967019975345E+0001  4.49197322583158E-0001  6.59967019975345E+0001
 1.72032985687256E+0001  4.23269219565918E-0001  8.00372705796740E+0001  4.23269219565918E-0001  8.00372705796740E+0001  4.23269219565918E-0001  8.00372705796740E+0001
 1.88417205810547E+0001  4.10336424818756E-0001  6.95950192260988E+0001  4.10336424818756E-0001  6.95950192260988E+0001  4.10336424818756E-0001  6.95950192260988E+0001
 2.04801425933838E+0001  3.91086458118947E-0001  2.45875939711072E+0002  3.91086458118947E-0001  2.45875939711072E+0002  3.91086458118947E-0001  2.45875939711072E+0002
 2.21185626983643E+0001  3.69593062235280E-0001  7.61220761211472E+0001  3.69593062235280E-0001  7.61220761211472E+0001  3.69593062235280E-0001  7.61220761211472E+0001
 2.37569847106934E+0001  3.36568970425376E-0001  8.60659860905755E+0001  3.36568970425376E-0001  8.60659860905755E+0001  3.36568970425376E-0001  8.60659860905755E+0001
 2.53954067230225E+0001  3.20344373239968E-0001  6.92904978394611E+0001  3.20344373239968E-0001  6.92904978394611E+0001  3.20344373239968E-0001  6.92904978394611E+0001
 2.70338268280029E+0001  3.09821411866077E-0001  4.20773564666056E+0001  3.09821411866077E-0001  4.20773564666056E+0001  3.09821411866077E-0001  4.20773564666056E+0001
 2.86722488403320E+0001  2.92640562418905E-0001  3.03629395974816E+0001  2.92640562418905E-0001  3.03629395974816E+0001  2.92640562418905E-0001  3.03629395974816E+0001
 3.03106708526611E+0001  2.63123944143847E-0001  2.70571775150242E+0001  2.63123944143847E-0001  2.70571775150242E+0001  2.63123944143847E-0001  2.70571775150242E+0001
 3.19490909576416E+0001  2.49529028716020E-0001  2.74744590485101E+0001  2.49529028716020E-0001  2.74744590485101E+0001  2.49529028716020E-0001  2.74744590485101E+0001
 3.44067230224609E+0001  2.18236417856337E-0001  2.89111777297141E+0001  2.18236417856337E-0001  2.89111777297141E+0001  2.18236417856337E-0001  2.89111777297141E+0001
 3.76835670471191E+0001  1.94162451670237E-0001  4.36733763888896E+0001  1.94162451670237E-0001  4.36733763888896E+0001  1.94162451670237E-0001  4.36733763888896E+0001
 4.09604110717773E+0001  1.63036486843344E-0001  5.59819547561294E+0001  1.63036486843344E-0001  5.59819547561294E+0001  1.63036486843344E-0001  5.59819547561294E+0001
 4.42372512817383E+0001  1.36953871867460E-0001  4.39970654177041E+0001  1.36953871867460E-0001  4.39970654177041E+0001  1.36953871867460E-0001  4.39970654177041E+0001
 4.75140953063965E+0001  1.22211081454991E-0001  5.62430911983881E+0001  1.22211081454991E-0001  5.62430911983881E+0001  1.22211081454991E-0001  5.62430911983881E+0001
 5.07909393310547E+0001  9.70805837325185E-0002  7.23903618418101E+0001  9.70805837325185E-0002  7.23903618418101E+0001  9.70805837325185E-0002  7.23903618418101E+0001
 5.40677795410156E+0001  8.81019324229674E-0002  6.65266430354480E+0001  8.81019324229674E-0002  6.65266430354480E+0001  8.81019324229674E-0002  6.65266430354480E+0001
 5.73446235656738E+0001  8.78398588041487E-0002  7.61308656358363E+0001  8.78398588041487E-0002  7.61308656358363E+0001  8.78398588041487E-0002  7.61308656358363E+0001
 6.06214675903320E+0001  9.10349269382019E-0002  6.77757191967212E+0001  9.10349269382019E-0002  6.77757191967212E+0001  9.10349269382019E-0002  6.77757191967212E+0001
 6.38983078002930E+0001  8.79471526759572E-0002  3.98854161866419E+0001  8.79471526759572E-0002  3.98854161866419E+0001  8.79471526759572E-0002  3.98854161866419E+0001
 6.88135757446289E+0001  6.21911309118491E-0002  3.38629390628957E+0001  6.21911309118491E-0002  3.38629390628957E+0001  6.21911309118491E-0002  3.38629390628957E+0001
 7.53672561645508E+0001  5.38814971930914E-0002  4.37650275455747E+0001  5.38814971930914E-0002  4.37650275455747E+0001  5.38814971930914E-0002  4.37650275455747E+0001
 8.19209442138672E+0001  5.52493794084222E-0002  3.80993245249010E+0001  5.52493794084222E-0002  3.80993245249010E+0001  5.52493794084222E-0002  3.80993245249010E+0001
